id_parent;full_name;phone
1;Иванов;89215981529
2;Иванова;89215981530
3;Петров;89215981531
4;Петрова;89215981532
5;Сидорова;89215981533
6;Жилин;89215981534
7;Жилина;89215981535
8;Козин;89215981536
9;Мозина;89215981537
10;Юрков;89215981538
11;Юркова;89215981539
12;Свистунов;89215981540
13;Мишин;89215981541
14;Минина;89215981542
15;Дидова;89215981543
16;Орлов;89215981544
17;Комин;89215981545
18;Комина;89215981546
19;Шломин;89215981547
20;Шломина;89215981548
21;Пунина;89215981549
22;Журин;89215981550
23;Журина;89215981551
24;Кручак;89215981552
25;Кручак;89215981553
26;Смирнова;89215981554
27;Лихова;89215981555
28;Лихова;89215981556
29;Васильева;89215981557
30;Васильев;89215981558
31;Васильев;89215981559
32;Дудина;89215981560
33;Ласкова;89215981561
34;Ромин;89215981562
35;Ромина;89215981563
